zip,population,density
01564,8052,98.5
01566,5618,85.7
01568,7762,134.6
01569,13939,180.2
01570,16971,523.9
01571,11682,211.1
01581,18982,342.4
01583,7676,232.3
01585,4574,68.8
01588,9775,436.5
01590,9385,107
01602,23854,1527.5
01603,19336,1704.2
01604,37468,2079.6
01605,28820,1794.7
01606,19729,1242.5
01607,8583,1019.5
01608,3639,3354.3
01609,21142,2265.6
01610,23040,4352.1
01611,2241,251.5
01612,4870,122.2
01701,32570,710.4
01702,39149,1775.8
01718,813,3899.9
01719,5794,187.5
01720,22684,418.4
01721,17576,519.3
01730,14053,372.6
01731,2061,680.4
01740,5236,94.8
01741,5186,122.6
01742,19350,280.1
01745,588,384.1
01746,14634,280.4
01747,5951,441
01748,17178,219.7
01749,19868,638.5
01752,39776,712.4
01754,10600,749
01756,6068,126.9
01757,28862,727.4
01760,35763,854.3
01770,4301,100.7
01772,9486,265.9
01773,4775,144.9
01775,7098,146.9
01776,18940,281.3
01778,13970,332.8
01801,40350,1186.2
01803,27059,807.3
01810,35609,415.8
01821,33016,706.4
01824,25955,541.5
01826,31101,549.6
01827,3345,74.6
01830,26695,702.1
01832,23419,747.1
01833,8649,245.7
01834,6749,280.8
01835,13166,676.3
01840,5560,3667.9
01841,48827,5904.2
01843,25454,2795.6
01844,50019,821.3
01845,30589,416.5
01850,16267,4326.9
01851,30574,3485.2
01852,34939,2603.1
01854,29561,2709.2
01860,6839,288.1
01862,10223,427.3
01863,9131,743
01864,15642,436.9
01867,25048,929.1
01876,30807,540.9
01879,12345,259.8
01880,26648,1381.6
01886,24194,280.2
01887,23658,507.5
01890,22677,1368.5
01901,1759,2633.6
01902,49172,7252.5
01904,17142,1553.8
01905,25465,2740.2
01906,28165,953.3
01907,14950,1784.5
01908,3495,1258.8
01913,17378,511.5
01915,41731,1010.7
01921,8270,130.5
01922,3276,125.1
01923,27457,770.2
01929,3713,96.9
01930,30049,424.3
01937,174,798
01938,13901,167.2
01940,13484,443.4
01944,5370,214.9
01945,20488,1743.5
01949,9779,258.1
01950,17990,805.3
01951,3755,99.7
01952,9227,208
01960,52564,1228.5
01966,7212,384.1
01969,6298,129.3
01970,43155,1956.6
01982,8020,211.4
01983,6551,197.4
01984,5208,245.8
01985,4581,121.6
02019,17016,343.8
02021,23134,443.1
02025,8449,297.6
02026,25360,931.2
02030,5987,142.9
02032,4455,697.6
02035,17535,327.9
02038,33022,458.5
02043,23298,385.7
02045,10424,1492.9
02047,92,290.6
02048,23761,445.3
02050,26152,337.4
02052,12748,322.3
02053,13244,426.5
02054,8202,253.4
02056,11317,285.3
02061,10987,193.7
02062,29201,1066.4
02066,18101,402.3
02067,18377,297.7
02071,1696,679.2
02072,28534,647.9
02081,19378,397.9
02090,15880,518.6
02093,11734,194.9
02108,4082,10824.7
02109,3853,8401.7
02110,2449,3693.1
02111,7926,10543.8
02113,7531,26621.1
02114,13516,10322.8
02115,29108,15513
02116,23118,12631.6
02118,27830,9331.3
02119,28199,6125.8
02120,14928,9444
02121,29919,5746.9
02122,25059,4454.7
02124,55821,6159
02125,34358,6028.8
02126,29591,4746
02127,36898,6068.8
02128,46927,3224.2
02129,19414,4697.9
02130,40377,4099.6
02131,33771,4451.7
02132,28487,2190
02134,19424,6259.7
02135,44760,6270.6
02136,34223,2395.9
02138,38835,5116.3
02139,38272,9009.3
02140,21338,5888
02141,14052,7142.9
02142,3294,4363.1
02143,26151,6130
02144,25277,8522.8
02145,26868,7035.9
02148,61354,4553.7
02149,45596,4686.6
02150,39842,6133.1
02151,53976,3405.9
02152,18535,3425
02155,59793,2731
02163,2401,10057.3
02169,56584,2369.6
02170,19367,3615.6
02171,18170,2788.2
02176,28116,2224.9
02180,22144,1376
02184,37207,1002.8
02186,27568,801
02188,15287,1516.3
02189,15603,1476.8
02190,17196,875.3
02191,8298,1613.5
02199,1149,7731.5
02203,25,0
02210,3196,839.8
02215,25619,13185.2
02301,62929,1893.5
02302,32497,1422.7
02322,4482,391.9
02324,27397,376.4
02330,11661,119.1
02332,15703,245.2
02333,14386,309.1
02338,7824,181.7
02339,14397,344.9
02341,10668,262.7
02343,10728,591.8
02346,24463,129.6
02347,11335,137.5
02351,16330,640
02356,12962,353.8
02357,1126,1091.3
02359,18304,316.1
02360,59133,227.5
02364,13381,261.6
02366,198,80.4
02367,2945,74.2
02368,34232,1232.6
02370,17909,655
02375,10218,243.5
02379,7165,174.2
02382,14961,806.6
02420,14496,823.7
02421,18984,679.9
02445,21324,3066.4
02446,29834,8793
02451,18699,1217.6
02452,15288,1485.3
02453,28877,3193.4
02457,1715,3465.3
02458,12522,2345.8
02459,19463,1473.5
02460,9754,2511.5
02461,7404,1872.9
02462,1420,1136.5
02464,3103,2021.5
02465,11964,2016.4
02466,8761,1746.7
02467,21864,1782
02468,5688,1374.2
02472,35387,3062
02474,28333,3330.4
02476,16814,3049.8
02478,26033,2050.7
02481,16447,1111.8
02482,11039,944.6
02492,20258,806.6
02493,12067,258.5
02494,10477,1249.9
02532,13238,343.3
02534,741,142.1
02535,1463,18.6
02536,19370,273.2
02537,6535,199.1
02538,3652,306.4
02539,4306,58.6
02540,8389,296.2
02542,909,14.3
02543,745,24.7
02553,97,343.3
02554,10842,94.3
02556,2681,311.1
02557,4686,241.3
02558,1146,677
02559,4059,258.9
02561,301,338.6
02562,3052,341
02563,9573,302.7
02564,247,20.8
02568,4103,232.1
02571,10927,203.4
02575,2707,42.1
02576,4467,149
02584,12,57.3
02601,15215,633
02630,2064,178.1
02631,9773,169.6
02632,10043,566.6
02633,4175,198.4
02635,3131,229.7
02637,167,139.6
02638,3117,208.7
02639,3160,400
02641,200,98.5
02642,4893,137.3
02643,0,5.3
02644,4340,426.2
02645,9487,224.2
02646,1868,214.9
02647,90,105.1
02648,6638,303.9
02649,14101,232.6
02650,845,227.4
02651,0,85.9
02652,761,56.7
02653,5852,189
02655,3393,208
02657,2960,117.5
02659,1024,209.1
02660,6257,313.5
02663,94,47.3
02664,8850,521.6
02666,493,25.1
02667,3387,53.5
02668,2723,83.3
02669,111,117.7
02670,1202,242
02671,877,196.2
02672,281,140.6
02673,8484,324.5
02675,6616,281.3
02702,4366,94.9
02703,44548,628.4
02713,40,4
02715,3519,105.3
02717,4885,103.6
02718,6383,248.3
02719,16026,494.9
02720,30699,1075.9
02721,26268,2487.1
02723,14279,3570.2
02724,17686,3513
02725,2421,428
02726,15786,1085
02738,5100,134.5
02739,6294,134.3
02740,43604,2926
02743,10483,215.9
02744,11036,3560
02745,24622,918.7
02746,15552,2799.5
02747,23512,181.4
02748,11313,196.4
02760,27345,575.1
02762,9088,290.4
02763,1771,843.8
02764,4238,145.3
02766,19634,264
02767,14326,220.1
02769,12082,95.5
02770,5245,61.2
02771,15210,287.9
02777,16276,270
02779,6679,149.9
02780,50264,573
02790,15694,113
02791,331,90.1
02802,671,1552.1
02804,2004,99.7
02806,16192,766.3
02807,827,44.7
02808,2565,116.4
02809,22258,902.3
02812,1208,87
02813,7780,82.9
02814,7673,64.6
02815,208,25.7
02816,32825,332.3
02817,6033,47.2
02818,18190,319.7
02822,6581,42.2
02825,5500,38.4
02826,501,122.3
02827,2060,39.7
02828,7863,623.4
02830,5935,119.5
02831,3501,140.9
02832,4320,79.6
02833,1144,42.8
02835,5496,220.9
02836,187,170.8
02837,3505,65.7
02838,3519,918.1
02839,2062,171
02840,23211,1247.6
02841,1632,1152
02842,15997,489.2
02852,22031,281.9
02857,8733,77.8
02858,728,380.7
02859,7227,91.8
02860,47127,3229.3
02861,25044,2835.6
02863,19346,6235.9
02864,34624,488.1
02865,17448,393.1
02871,17140,389.1
02872,278,14.2
02873,190,32.2
02874,5960,149.2
02875,546,102.7
02876,291,1310.6
02878,15816,209.5
02879,20524,210.5
02881,7836,837.7
02882,13951,428
02885,10464,669
02886,29007,757.7
02888,19167,1296.4
02889,27333,1252.6
02891,21085,310.6
02892,5186,70.3
02893,29153,1459.8
02894,674,64.3
02895,41539,2051.2
02896,12058,187.5
02898,1643,56.7
02903,10542,2376.3
02904,30522,2171.7
02905,25488,2647.3
02906,28196,3382.6
02907,30781,4814.8
02908,37549,4577.5
02909,40572,4852.9
02910,22143,2351.6
02911,15864,2414.6
02912,1360,12183.6
02914,21605,1735.2
02915,16646,1177.4
02916,9075,1226.3
02917,13803,249
02919,29254,472.5
02920,37199,1576.5
02921,12415,362.7
03031,11393,126.1
03032,5385,75.5
03033,5298,97.1
03034,4033,46.5
03036,5039,70.9
03037,4355,33.9
03038,33826,358.4
03042,6919,94.3
03043,1673,19.5
03044,4649,97
03045,13678,146.2
03046,2811,34.5
03047,1765,25.8
03048,3504,44.8
03049,7880,93.6
03051,25328,334.1
03052,8395,214
03053,25270,225.1
03054,25815,301.8
03055,15486,232.9
03057,2533,57.2
03060,29586,1733.9
03062,27938,854.1
03063,16781,771.9
03064,14301,1328.7
03070,5621,47.2
03071,5316,60.3
03076,13596,189.2
03077,10389,133.1
03079,29133,447.5
03082,1670,21.8
03084,1307,23.8
03086,3788,53.4
03087,14508,196.2
03101,2701,1521.2
03102,32564,1327.4
03103,37641,1444.5
03104,32603,1531.8
03106,14203,142.9
03109,10550,540.9
03110,22388,249.8
03215,183,2
03216,2548,21.8
03217,2142,73.2
03218,872,25.9
03220,7453,93.7
03221,2190,17.5
03222,5855,28.4
03223,3383,18.1
03224,2335,22.2
03225,3670,48.4
03226,995,32.1
03227,979,5.5
03229,5670,49.8
03230,1280,11.6
03231,251,35.5
03233,101,78.9
03234,4713,51.3
03235,8698,111.2
03237,2433,23.5
03238,125,10.5
03240,1220,12.5
03241,752,8.1
03242,4950,42.4
03243,931,15.9
03244,7892,38.1
03245,2180,25.7
03246,16324,308.4
03249,7157,70.7
03251,1229,4.3
03253,6322,61.7
03254,4095,26.3
03255,1961,22
03256,2333,22.2
03257,4696,75.1
03258,2664,46
03259,336,6
03260,736,12.8
03261,4343,58.3
03262,899,8.3
03263,4084,65.6
03264,7307,78.4
03266,2209,8.1
03268,1134,16.3
03269,2976,24.1
03273,398,20.4
03275,11542,102.6
03276,8263,81.5
03278,2948,18.4
03279,852,7
03280,1164,9.5
03281,9011,57.4
03282,871,8.4
03284,843,9.9
03285,2502,19.1
