Zip,Median,Mean
1832,"57,959","69,232"
1833,"97,895","115,435"
1834,"84,232","95,694"
1835,"76,253","86,304"
1840,"18,507","28,624"
1841,"34,128","42,598"
1843,"42,587","52,579"
1844,"66,023","75,431"
1845,"99,505","123,973"
1850,"54,087","58,893"
1851,"51,795","61,695"
1852,"55,089","62,626"
1854,"44,616","54,300"
1860,"75,517","93,951"
1862,"86,304","90,705"
1863,"77,458","88,612"
1864,"97,574","112,662"
1867,"103,358","120,487"
1876,"83,976","95,140"
1879,"92,239","106,477"
1880,"89,830","99,935"
1886,"123,906","142,724"
1887,"97,107","108,007"
1890,"128,546","176,001"
1901,"18,257","33,810"
1902,"38,107","49,159"
1904,"69,263","77,218"
1905,"42,449","51,336"
1906,"69,051","84,874"
1907,"90,516","120,329"
1913,"73,843","90,786"
1915,"71,363","90,717"
1921,"143,045","205,695"
1922,"91,052","113,098"
1923,"76,695","97,283"
1929,"76,989","104,199"
1930,"63,047","78,512"
1938,"82,395","98,029"
1940,"90,677","114,264"
1944,"105,000","148,622"
1945,"95,942","139,641"
1949,"87,728","106,394"
1950,"76,313","102,337"
1951,"91,052","113,098"
1952,"62,924","77,419"
1960,"67,119","78,619"
1966,"73,676","93,990"
1969,"74,911","97,895"
1970,"57,313","70,552"
1982,"97,491","104,573"
1983,"115,015","133,663"
1984,"132,697","181,580"
1985,"111,739","140,801"
2019,"77,420","84,271"
2021,"88,829","112,721"
2025,"114,214","165,670"
2026,"85,131","103,594"
2030,"164,583","240,515"
2032,"77,708","101,593"
2035,"94,994","108,948"
2038,"92,042","107,379"
2043,"99,910","146,972"
2045,"70,039","89,785"
2047,"75,170","102,029"
2048,"93,593","109,080"
2050,"85,395","105,524"
2052,"123,176","169,008"
2053,"100,950","116,761"
2054,"85,472","95,458"
2056,"111,767","137,649"
2061,"106,730","144,569"
2062,"72,935","84,347"
2066,"92,394","116,245"
2067,"117,828","144,691"
2071,"91,781","107,426"
2072,"69,340","81,997"
2081,"92,954","119,375"
2090,"116,083","154,504"
2093,"94,524","123,596"
2108,"96,033","149,809"
2109,"92,310","129,015"
2110,"102,972","135,093"
2111,"31,442","93,529"
2113,"60,386","84,170"
2114,"69,809","110,095"
2115,"30,282","54,356"
